candidate_id,gender,age_group,education_level,field_of_study,years_experience,previous_role_relevance,skills_score,interview_score,certification,location_preference,hired
C063,female,25-34,high_school,marketing,4,3,77,68,yes,onsite,no
C064,female,25-34,bachelor,data_science,8,1,78,59,no,remote,no
C065,male,35-44,master,business,8,3,83,69,yes,remote,no
C066,male,25-34,bachelor,engineering,5,5,93,65,no,hybrid,yes
C067,male,45-60,master,hr,30,5,100,63,yes,remote,yes
C068,female,35-44,bachelor,marketing,15,4,79,66,yes,onsite,yes
C069,female,25-34,bachelor,marketing,8,3,76,63,yes,onsite,no
C070,female,25-34,bachelor,finance,1,5,82,74,no,onsite,yes
C071,male,35-44,bachelor,design,20,3,70,81,no,remote,no
C072,male,25-34,bachelor,hr,2,4,100,92,yes,hybrid,yes
C073,female,45-60,bachelor,marketing,27,2,78,73,no,hybrid,no
C074,male,18-24,high_school,finance,2,1,86,67,no,remote,no
C075,male,45-60,bachelor,business,29,5,77,97,yes,hybrid,yes
C076,female,25-34,master,design,7,4,63,97,no,remote,yes
C077,male,18-24,phd,business,0,4,99,91,yes,onsite,yes
C078,male,45-60,high_school,finance,14,3,83,88,no,remote,yes
C079,female,25-34,master,finance,2,2,61,52,yes,onsite,no
C080,female,18-24,master,finance,0,1,72,68,no,hybrid,no
C081,female,25-34,bachelor,design,3,1,66,62,yes,hybrid,no
C082,male,25-34,master,design,8,3,70,70,no,hybrid,no
C083,female,25-34,bachelor,marketing,5,2,97,71,no,hybrid,no
C084,female,25-34,master,engineering,11,1,82,86,yes,hybrid,yes
C085,male,45-60,master,business,18,5,90,98,yes,onsite,yes
C086,female,18-24,master,engineering,2,2,61,80,yes,hybrid,no
C087,male,18-24,bachelor,hr,1,3,99,59,no,hybrid,no
C088,male,35-44,bachelor,engineering,16,4,85,97,yes,hybrid,yes
C089,female,35-44,high_school,hr,16,3,67,62,no,hybrid,no
C090,female,18-24,master,hr,0,4,80,84,yes,onsite,yes
C091,female,18-24,phd,data_science,4,2,69,79,yes,remote,no
C092,male,25-34,master,design,7,3,76,85,no,remote,no
C093,female,45-60,master,engineering,23,1,74,74,no,hybrid,no
C094,female,35-44,master,hr,8,5,100,84,yes,remote,yes
C095,male,25-34,master,business,10,1,71,100,no,hybrid,no
C096,male,18-24,master,business,4,3,79,83,no,hybrid,no
C097,female,25-34,bachelor,engineering,10,1,69,72,yes,hybrid,no
C098,male,35-44,bachelor,marketing,12,4,74,70,no,remote,yes
C099,male,18-24,high_school,hr,4,5,83,66,yes,remote,yes
C100,male,25-34,master,engineering,4,4,78,67,no,hybrid,no
